Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,28,27.5,,38,418,,,34,24,32,2,3,83,4,0.89,0.63,1.53,0.84,1.47
Athletic Club,24,25.5,,38,417,,,39,28,36,3,6,91,6,1.03,0.74,1.76,0.95,1.68
Atlético Madrid,23,25.1,,38,420,,,45,31,42,3,4,119,8,1.18,0.82,2.00,1.11,1.92
Barcelona,23,26.6,,38,415,,,75,53,67,8,10,73,6,1.97,1.39,3.37,1.76,3.16
Betis,26,26.3,,38,417,,,32,26,30,2,2,98,8,0.84,0.68,1.53,0.79,1.47
Cádiz,26,28.8,,38,418,,,36,21,31,5,6,89,5,0.95,0.55,1.50,0.82,1.37
Celta Vigo,23,25.4,,38,417,,,45,28,42,3,5,78,2,1.18,0.74,1.92,1.11,1.84
Espanyol,25,24.9,,38,418,,,36,27,34,2,5,104,9,0.95,0.71,1.66,0.89,1.61
Getafe,23,27.0,,38,418,,,53,39,50,3,3,99,8,1.39,1.03,2.42,1.32,2.34
La Coruña,27,28.4,,38,418,,,44,35,40,4,6,120,5,1.16,0.92,2.08,1.05,1.97
Málaga,29,26.7,,38,419,,,36,21,34,2,2,111,12,0.95,0.55,1.50,0.89,1.45
Mallorca,26,26.2,,38,418,,,37,27,36,1,1,97,9,0.97,0.71,1.68,0.95,1.66
Osasuna,24,26.3,,38,418,,,49,34,46,3,3,117,7,1.29,0.89,2.18,1.21,2.11
Racing Sant,27,25.5,,38,415,,,36,23,33,3,4,126,10,0.95,0.61,1.55,0.87,1.47
Real Madrid,25,26.7,,38,419,,,68,48,61,7,9,108,11,1.79,1.26,3.05,1.61,2.87
Real Sociedad,27,25.4,,38,417,,,46,30,40,6,6,80,10,1.21,0.79,2.00,1.05,1.84
Sevilla,24,26.3,,38,416,,,52,34,45,7,7,98,9,1.37,0.89,2.26,1.18,2.08
Valencia,27,27.0,,38,418,,,58,38,52,6,7,83,6,1.53,1.00,2.53,1.37,2.37
Villarreal,29,26.8,,38,418,,,49,32,44,5,7,104,5,1.29,0.84,2.13,1.16,2.00
Zaragoza,22,26.4,,38,418,,,45,30,43,2,2,107,6,1.18,0.79,1.97,1.13,1.92
